"Parameter","Value.TP","Value.TN"
"Downstream NNC",12,0.3
"Number of Sites; k",2,1
"Number of Site Years; N",25,2
"Degree of Freedom; df",23,1
"Mean Rescaled FWM; LTFWM",14.65885218692,0.340293719747468
"SE of Rescaled FWM; SE LTFWM",1.0161382494891,0.0174738878474736
"Annual Ln Mean FWM; m",2.63406789716028,-1.07926627576079
"Annual Ln SD FWM; std",0.319373483343704,0.0726829850418747
"Pooled Ln SD FWM; s",0.0676537594539779,0.0726829850418747
"Assumed Probability; p",0.1,0.1
"Students-t; Tp",1.31946023981616,3.07768353717525
"Long Term FWM Limit",14.6767054760547,0.498470131321944
